"","行政區","路名","段、號及其他註明","經度","緯度","備註"
"147","中山區","民生東路","三段8號前","121.538509",25.057733,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"148","中山區","松江路","124巷對面(公車專用道)","121.532995",25.052451,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"149","中山區","松江路","124巷對面(公車專用道)","121.532984",25.052305,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"150","中山區","長春路","復興北路口","121.543947",25.054646,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"151","中山區","長春路","復興北路口","121.543947",25.054646,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"152","中山區","南京東路","二段63號(公車專用)對面","121.530129",25.052147,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"153","中山區","南京東路","二段111號(公車專用)對面","121.533225",25.052055,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"154","中山區","南京東路","二段111號(公車專用)對面","121.533225",25.052055,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"155","中山區","南京東路","三段1號(公車專用)對面","121.537157",25.052036,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"156","中山區","南京東路","三段1號(公車專用)對面","121.537157",25.052036,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"157","中山區","南京東路","三段131號(公車專用)對面","121.540572",25.051952,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"158","中山區","南京東路","三段131號(公車專用)對面","121.540572",25.051952,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"159","中山區","南京東路","2段15號","121.528674",25.052186,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"160","中山區","南京東路","2段65號","121.530493",25.052212,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"161","中山區","南京東路","2段87號","121.531815",25.052193,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"162","中山區","南京東路","2段111對面(公車專用道)","121.533499",25.052157,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"163","中山區","南京東路","3段29號","121.537726",25.052123,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"164","中山區","南京東路","3段217號","121.542911",25.051964,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"165","中山區","民族東路","1號側(海霸王)","121.523468",25.068513,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"166","中山區","民族西路","(足球場側)東往西中山足球場公車站牌","121.520128",25.068553,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"167","中山區","玉門街","(足球場側)南往北1號圓山捷運站牌","121.520373",25.071541,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"168","中山區","玉門街","(足球場側)南往北1號圓山捷運站牌","121.520362",25.071494,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"169","中山區","民權西路","民權西路55號前","121.52039",25.062999,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"170","中山區","中山北路","三段(圓山公園側)62號側","121.523127",25.070281,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"171","中山區","中山北路","三段圓山公園大門口","121.523377",25.070013,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
