行政區,路名,段、號及其他註明,經度,緯度,備註
內湖區,內湖路,1段372號麗山街站牌1,121.571506,25.081194,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段內湖捷運港墘站第2號側門,121.574857,25.07999,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,港墘路,港墘派出所站,121.57639,25.079114,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,498號仁寶大樓站牌,121.568605,25.07911,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,356號台北花市站牌,121.573312,25.077037,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,190號瑞湖路口站牌2,121.577297,25.074886,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,110號公館山站牌,121.580858,25.072042,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,新湖一路,377號對面(文心公園),121.5846667,25.06505556,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,461號對面,121.5856111,25.065,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,398號,121.5847222,25.06283333,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,181巷對面,121.5981944,25.05988889,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,二段135巷旁,121.5748889,25.07008333,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,新湖二路,233號(東南客運對面),121.5810833,25.06363889,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,新湖一路,73號對面,121.5751944,25.05852778,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行忠路,66號對面(扶輪社公園),121.5794167,25.06633333,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,二段１號,121.5748056,25.06675,嚴禁投入家用垃圾，違者重罰新台幣6000元
